33 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,89 Jack AITKEN,,AIT_Laptime_s,AIT_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,6 Nicholas LATIFI,,NL_Laptime_s,NL_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,5 Seb VETTEL,,SV_Laptime_s,SV_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,51 Pietro FITTIPALDI,,PF_Laptime_s,PF_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,26 Daniil Kvyat,,DK_Laptime_s,DK_Cumulative,,99 Antonio GIO,,AG_Laptime_s,AG_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,7 Kimi RAI,,KR_Laptime_s,KR_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RP1,SF1,MCL2,M-AMG1,M_AMG2,SF2,RP2,MCL1,WIL1,REN1,ATO1,ATO2,REN2,RBR2,WIL2,HAS1,HAS2,SAUB1,SAUB2
,,#VALUE!,#VALUE!,,45 0:58.214,0:58.214,58.214,2828.069,,45 0:58.776,0:58.776,58.776,2878.181,,45 0:58.576,0:58.576,58.576,2832.450,,45 0:58.694,0:58.694,58.694,2850.907,,45 0:58.735,0:58.735,58.735,2867.023,,45 0:57.933,0:57.933,57.933,2841.789,,45 0:57.490,0:57.490,57.490,2846.179,,45 0:58.306,0:58.306,58.306,2862.474,,45 0:57.464,0:57.464,57.464,2846.914,,,,#VALUE!,#VALUE!,,45 0:58.031,0:58.031,58.031,2834.745,,45 0:58.737,0:58.737,58.737,2872.271,,45 0:58.974,0:58.974,58.974,2902.381,,45 0:57.939,0:57.939,57.939,2837.623,,45 0:58.133,0:58.133,58.133,2836.928,,45 0:58.883,0:58.883,58.883,2868.381,,45 0:58.099,0:58.099,58.099,2800.976,,45 0:58.937,0:58.937,58.937,2882.417,,45 P 1:00.531,1:00.531,60.531,2800.299,,44,2769.023,,0.832,,7.691,-26.146,-29.255,35.145,20.427,23.190,39.265,19.666,14.833,9.772,10.661,4.851,50.382,44.511,74.384,54.457,40.475
,,#VALUE!,#VALUE!,,46 0:58.305,0:58.305,58.305,2886.374,,46 0:59.679,0:59.679,59.679,2937.860,,46 0:58.591,0:58.591,58.591,2891.041,,46 0:58.522,0:58.522,58.522,2909.429,,46 0:58.700,0:58.700,58.7,2925.723,,46 0:58.261,0:58.261,58.261,2900.050,,46 0:57.520,0:57.520,57.520,2903.699,,46 0:58.450,0:58.450,58.450,2920.924,,46 0:57.725,0:57.725,57.725,2904.639,,,,#VALUE!,#VALUE!,,46 0:58.189,0:58.189,58.189,2892.934,,46 0:58.782,0:58.782,58.782,2931.053,,46 1:01.694,1:01.694,61.694,2964.075,,46 0:59.032,0:59.032,59.032,2896.655,,46 0:58.393,0:58.393,58.393,2895.321,,46 0:58.944,0:58.944,58.944,2927.325,,46 0:58.086,0:58.086,58.086,2859.062,,46 0:58.987,0:58.987,58.987,2941.404,,46 1:18.771,1:18.771,78.771,2879.07,,45,2831.956,,-3.887,,2.789,-30.980,-31.657,30.518,14.958,18.951,35.067,14.223,9.833,4.972,5.667,0.494,46.225,40.315,70.425,50.461,36.425
,,#VALUE!,#VALUE!,,47 P 1:00.918,1:00.918,60.918,2947.292,,47 0:58.921,0:58.921,58.921,2996.781,,47 P 1:01.752,1:01.752,61.752,2952.793,,47 0:58.960,0:58.960,58.960,2968.389,,47 0:58.705,0:58.705,58.705,2984.428,,47 0:58.272,0:58.272,58.272,2958.322,,47 0:57.712,0:57.712,57.712,2961.411,,47 0:58.425,0:58.425,58.425,2979.349,,47 0:57.688,0:57.688,57.688,2962.327,,,,#VALUE!,#VALUE!,,47 0:58.395,0:58.395,58.395,2951.329,,47 0:59.003,0:59.003,59.003,2990.056,,47 0:59.051,0:59.051,59.051,3023.126,,47 0:58.488,0:58.488,58.488,2955.143,,47 0:58.269,0:58.269,58.269,2953.59,,47 0:58.597,0:58.597,58.597,2985.922,,47 0:58.532,0:58.532,58.532,2917.594,,47 0:58.959,0:58.959,58.959,3000.363,,47 0:56.644,0:56.644,56.644,2935.714,,46,2894.888,,-8.514,,-1.954,-35.826,-15.818,26.036,9.751,14.541,30.835,8.811,5.162,0.433,1.767,-3.847,42.972,36.165,69.187,46.516,32.437
,,#VALUE!,#VALUE!,,48 1:17.539,1:17.539,77.539,3024.831,,48 0:58.799,0:58.799,58.799,3055.580,,48 1:18.627,1:18.627,78.627,3031.420,,48 0:58.878,0:58.878,58.878,3027.267,,48 0:58.939,0:58.939,58.939,3043.367,,48 0:58.259,0:58.259,58.259,3016.581,,48 0:57.647,0:57.647,57.647,3019.058,,48 0:58.524,0:58.524,58.524,3037.873,,48 0:57.703,0:57.703,57.703,3020.030,,,,#VALUE!,#VALUE!,,48 0:58.263,0:58.263,58.263,3009.592,,48 0:59.055,0:59.055,59.055,3049.111,,48 1:00.019,1:00.019,60.019,3083.145,,48 0:58.342,0:58.342,58.342,3013.485,,48 0:58.104,0:58.104,58.104,3011.694,,48 0:58.747,0:58.747,58.747,3044.669,,48 0:58.290,0:58.290,58.29,2975.884,,48 0:58.879,0:58.879,58.879,3059.242,,48 0:56.731,0:56.731,56.731,2992.445,,47,2957.820,,-10.528,,-6.491,-40.226,-22.106,21.529,4.507,10.569,26.608,3.591,0.502,-4.230,-2.677,-5.027,38.961,32.236,65.306,42.543,28.102
,,#VALUE!,#VALUE!,,49 0:57.205,0:57.205,57.205,3082.036,,49 0:58.703,0:58.703,58.703,3114.283,,49 0:57.806,0:57.806,57.806,3089.226,,49 0:58.565,0:58.565,58.565,3085.832,,49 0:58.841,0:58.841,58.841,3102.208,,49 0:58.564,0:58.564,58.564,3075.145,,49 0:57.820,0:57.820,57.820,3076.878,,49 0:58.576,0:58.576,58.576,3096.449,,49 0:57.545,0:57.545,57.545,3077.575,,,,#VALUE!,#VALUE!,,49 0:57.982,0:57.982,57.982,3067.574,,49 0:59.980,0:59.980,59.98,3109.091,,49 0:58.926,0:58.926,58.926,3142.071,,49 0:58.139,0:58.139,58.139,3071.624,,49 0:58.221,0:58.221,58.221,3069.915,,49 0:58.631,0:58.631,58.631,3103.3,,49 P 1:01.154,1:01.154,61.154,3037.038,,49 0:58.808,0:58.808,58.808,3118.05,,49 0:57.130,0:57.130,57.13,3049.575,,48,3020.753,,4.078,,-11.161,-44.869,-28.308,17.120,-0.723,6.514,22.614,-1.695,-4.172,-9.059,-7.268,10.667,34.827,28.358,62.392,38.489,23.916
,,#VALUE!,#VALUE!,,50 0:56.937,0:56.937,56.937,3138.973,,50 1:00.166,1:00.166,60.166,3174.449,,50 0:57.488,0:57.488,57.488,3146.714,,50 0:58.919,0:58.919,58.919,3144.751,,50 0:58.631,0:58.631,58.631,3160.839,,50 0:58.425,0:58.425,58.425,3133.570,,50 0:57.975,0:57.975,57.975,3134.853,,50 0:58.537,0:58.537,58.537,3154.986,,50 0:57.954,0:57.954,57.954,3135.529,,,,#VALUE!,#VALUE!,,50 0:58.300,0:58.300,58.3,3125.874,,50 0:59.678,0:59.678,59.678,3168.769,,50 0:59.125,0:59.125,59.125,3201.196,,50 0:58.285,0:58.285,58.285,3129.909,,50 0:58.315,0:58.315,58.315,3128.23,,50 0:58.680,0:58.680,58.68,3161.98,,50 1:18.211,1:18.211,78.211,3115.249,,50 0:58.978,0:58.978,58.978,3177.028,,50 0:57.112,0:57.112,57.112,3106.687,,49,3083.685,,-1.649,,-16.111,-46.647,-34.110,12.764,-6.110,2.147,18.523,-6.807,-8.540,-13.770,-12.061,5.541,30.598,25.406,58.386,34.365,19.615
,,#VALUE!,#VALUE!,,51 0:57.052,0:57.052,57.052,3196.025,,51 0:58.805,0:58.805,58.805,3233.254,,51 0:57.320,0:57.320,57.320,3204.034,,51 0:58.517,0:58.517,58.517,3203.268,,51 0:58.998,0:58.998,58.998,3219.837,,51 P 1:01.128,1:01.128,61.128,3194.698,,51 0:57.964,0:57.964,57.964,3192.817,,51 0:58.409,0:58.409,58.409,3213.395,,51 0:57.861,0:57.861,57.861,3193.390,,,,#VALUE!,#VALUE!,,51 0:58.101,0:58.101,58.101,3183.975,,51 0:59.572,0:59.572,59.572,3228.341,,51 0:58.776,0:58.776,58.776,3259.972,,51 0:58.034,0:58.034,58.034,3187.943,,51 0:58.414,0:58.414,58.414,3186.644,,51 1:00.383,1:00.383,60.383,3222.363,,51 0:56.705,0:56.705,56.705,3171.954,,51 0:59.012,0:59.012,59.012,3236.04,,51 0:56.831,0:56.831,56.831,3163.518,,50,3146.617,,-7.644,,-20.743,-31.368,-39.930,8.369,-11.088,-1.866,14.222,-11.764,-13.047,-18.387,-16.708,0.097,27.832,22.152,54.579,30.411,15.363
,,#VALUE!,#VALUE!,,52 0:56.925,0:56.925,56.925,3252.950,,52 0:58.649,0:58.649,58.649,3291.903,,52 0:57.056,0:57.056,57.056,3261.090,,52 0:59.106,0:59.106,59.106,3262.374,,52 0:59.809,0:59.809,59.809,3279.646,,52 1:18.781,1:18.781,78.781,3273.479,,52 0:57.395,0:57.395,57.395,3250.212,,52 0:58.183,0:58.183,58.183,3271.578,,52 0:57.548,0:57.548,57.548,3250.938,,,,#VALUE!,#VALUE!,,52 0:58.031,0:58.031,58.031,3242.006,,52 1:00.214,1:00.214,60.214,3288.555,,52 1:00.553,1:00.553,60.553,3320.525,,52 0:58.034,0:58.034,58.034,3245.977,,52 0:58.433,0:58.433,58.433,3245.077,,52 0:58.893,0:58.893,58.893,3281.256,,52 0:56.960,0:56.960,56.96,3228.914,,52 0:58.888,0:58.888,58.888,3294.928,,52 0:57.112,0:57.112,57.112,3220.63,,51,3209.550,,-13.525,,-25.575,-37.596,-46.032,3.845,-16.160,-6.282,10.287,-16.733,-14.852,-22.906,-21.607,-5.516,23.704,18.791,50.422,26.490,12.813
,,#VALUE!,#VALUE!,,53 0:56.949,0:56.949,56.949,3309.899,,53 0:58.667,0:58.667,58.667,3350.570,,53 0:57.361,0:57.361,57.361,3318.451,,53 0:59.017,0:59.017,59.017,3321.391,,,,,,,53 0:57.220,0:57.220,57.220,3330.699,,53 0:57.679,0:57.679,57.679,3307.891,,53 0:58.438,0:58.438,58.438,3330.016,,53 0:57.586,0:57.586,57.586,3308.524,,,,#VALUE!,#VALUE!,,53 0:58.174,0:58.174,58.174,3300.18,,53 0:59.206,0:59.206,59.206,3347.761,,53 P 1:09.749,1:09.749,69.749,3390.274,,53 0:58.410,0:58.410,58.41,3304.387,,53 P 1:00.987,1:00.987,60.987,3306.064,,53 0:58.828,0:58.828,58.828,3340.084,,53 0:56.704,0:56.704,56.704,3285.618,,53 0:58.876,0:58.876,58.876,3353.804,,53 0:57.076,0:57.076,57.076,3277.706,,52,3272.482,,-19.532,,-30.476,-43.568,-51.852,-0.904,-21.544,-10.108,7.164,-22.270,0.997,-27.405,-26.505,-11.392,19.421,16.073,48.043,22.446,8.774
,,#VALUE!,#VALUE!,,54 0:57.426,0:57.426,57.426,3367.325,,54 P 1:11.243,1:11.243,71.243,3421.813,,54 1:00.532,1:00.532,60.532,3378.983,,54 P 1:06.254,1:06.254,66.254,3387.645,,,,,,,54 1:05.738,1:05.738,65.738,3396.437,,54 0:57.985,0:57.985,57.985,3365.876,,54 P 1:09.732,1:09.732,69.732,3399.748,,54 0:58.282,0:58.282,58.282,3366.806,,,,#VALUE!,#VALUE!,,54 0:58.458,0:58.458,58.458,3358.638,,54 P 1:10.717,1:10.717,70.717,3418.478,,54 1:22.928,1:22.928,82.928,3473.202,,54 0:57.993,0:57.993,57.993,3362.38,,54 1:25.748,1:25.748,85.748,3391.812,,54 P 1:08.974,1:08.974,68.974,3409.058,,54 0:56.676,0:56.676,56.676,3342.294,,54 P 1:13.601,1:13.601,73.601,3427.405,,54 0:57.048,0:57.048,57.048,3334.754,,53,3335.414,,-25.515,,-35.234,-49.796,-57.708,-5.398,-26.890,-14.023,,-27.523,-4.715,-29.350,-31.027,-16.963,15.156,12.347,54.860,18.390,4.670
,,#VALUE!,#VALUE!,,55 1:11.049,1:11.049,71.049,3438.374,,55 1:20.818,1:20.818,80.818,3502.631,,55 1:08.846,1:08.846,68.846,3447.829,,55 1:20.199,1:20.199,80.199,3467.844,,,,,,,55 1:04.275,1:04.275,64.275,3460.712,,55 1:11.429,1:11.429,71.429,3437.305,,55 1:21.506,1:21.506,81.506,3481.254,,55 1:11.130,1:11.130,71.130,3437.936,,,,#VALUE!,#VALUE!,,55 P 1:13.671,1:13.671,73.671,3432.309,,55 1:19.495,1:19.495,79.495,3497.973,,55 0:57.861,0:57.861,57.861,3531.063,,55 P 1:12.798,1:12.798,72.798,3435.178,,55 1:04.781,1:04.781,64.781,3456.593,,55 1:18.959,1:18.959,78.959,3488.017,,55 1:06.758,1:06.758,66.758,3409.052,,55 1:19.422,1:19.422,79.422,3506.827,,55 1:05.262,1:05.262,65.262,3400.016,,54,3398.347,,-31.022,,-39.709,-56.053,-63.593,1.401,-31.541,-10.702,,-32.471,-1.910,-6.535,-35.967,-19.364,23.466,20.131,74.855,29.058,10.711
,,#VALUE!,#VALUE!,,56 0:56.922,0:56.922,56.922,3495.296,,56 0:57.392,0:57.392,57.392,3560.023,,56 0:57.606,0:57.606,57.606,3505.435,,56 0:57.791,0:57.791,57.791,3525.635,,,,,,,56 0:57.599,0:57.599,57.599,3518.311,,56 0:57.542,0:57.542,57.542,3494.847,,56 0:56.905,0:56.905,56.905,3538.159,,56 0:58.579,0:58.579,58.579,3496.515,,,,#VALUE!,#VALUE!,,56 1:18.437,1:18.437,78.437,3510.746,,56 0:58.038,0:58.038,58.038,3556.011,,56 0:57.742,0:57.742,57.742,3588.805,,56 1:17.778,1:17.778,77.778,3512.956,,56 0:57.615,0:57.615,57.615,3514.208,,56 0:56.887,0:56.887,56.887,3544.904,,56 1:01.326,1:01.326,61.326,3470.378,,56 0:57.375,0:57.375,57.375,3564.202,,56 1:04.719,1:04.719,64.719,3464.735,,55,3461.279,,-22.905,,-28.970,-52.227,-61.263,19.975,-23.343,6.565,,-23.974,-0.567,-4.686,-26.101,-13.450,41.352,36.694,69.784,45.548,26.738
,,#VALUE!,#VALUE!,,57 0:57.073,0:57.073,57.073,3552.369,,57 0:57.454,0:57.454,57.454,3617.477,,57 0:57.406,0:57.406,57.406,3562.841,,57 0:59.304,0:59.304,59.304,3584.939,,,,,,,57 0:57.460,0:57.460,57.460,3575.771,,57 0:58.515,0:58.515,58.515,3553.362,,57 0:57.065,0:57.065,57.065,3595.224,,57 0:57.777,0:57.777,57.777,3554.292,,,,#VALUE!,#VALUE!,,57 0:57.550,0:57.550,57.55,3568.296,,57 0:57.516,0:57.516,57.516,3613.527,,57 0:57.747,0:57.747,57.747,3646.552,,57 0:56.979,0:56.979,56.979,3569.935,,57 0:57.381,0:57.381,57.381,3571.589,,57 0:57.131,0:57.131,57.131,3602.035,,57 0:56.779,0:56.779,56.779,3527.157,,57 0:57.382,0:57.382,57.382,3621.584,,57 0:56.977,0:56.977,56.977,3521.712,,56,3524.211,,-28.915,,-13.465,-53.833,-59.476,13.948,-27.696,1.424,,-29.364,-5.900,-10.003,-11.255,-18.776,35.812,31.800,64.594,39.991,20.693
,,,,,58 0:57.319,0:57.319,57.319,3609.688,,58 0:57.537,0:57.537,57.537,3675.014,,58 0:57.308,0:57.308,57.308,3620.149,,58 0:57.389,0:57.389,57.389,3642.328,,,,,,,58 0:57.546,0:57.546,57.546,3633.317,,58 0:57.698,0:57.698,57.698,3611.060,,58 0:57.141,0:57.141,57.141,3652.365,,58 0:57.465,0:57.465,57.465,3611.757,,,,,,,58 0:57.280,0:57.280,57.28,3625.576,,58 0:57.749,0:57.749,57.749,3671.276,,58 0:57.964,0:57.964,57.964,3704.516,,58 0:57.192,0:57.192,57.192,3627.127,,58 0:57.357,0:57.357,57.357,3628.946,,58 0:57.152,0:57.152,57.152,3659.187,,58 0:57.044,0:57.044,57.044,3584.201,,58 0:57.812,0:57.812,57.812,3679.396,,58 0:56.865,0:56.865,56.865,3578.577,,57,3587.144,,-34.775,,-18.848,-59.987,-65.432,8.080,-32.852,-2.205,,-33.782,-11.373,-15.555,-17.209,-24.303,30.333,26.383,59.408,34.440,14.891
,,,,,59 0:56.973,0:56.973,56.973,3666.661,,59 P 1:09.041,1:09.041,69.041,3744.055,,59 0:57.475,0:57.475,57.475,3677.624,,59 0:57.947,0:57.947,57.947,3700.275,,,,,,,59 0:57.605,0:57.605,57.605,3690.922,,59 0:57.552,0:57.552,57.552,3668.612,,59 0:57.224,0:57.224,57.224,3709.589,,59 0:57.675,0:57.675,57.675,3669.432,,,,,,,59 0:57.179,0:57.179,57.179,3682.755,,59 0:57.887,0:57.887,57.887,3729.163,,59 1:02.546,1:02.546,62.546,3767.062,,59 0:57.166,0:57.166,57.166,3684.293,,59 0:57.481,0:57.481,57.481,3686.427,,59 0:57.352,0:57.352,57.352,3716.539,,59 0:56.613,0:56.613,56.613,3640.814,,59 0:57.855,0:57.855,57.855,3737.251,,59 0:56.975,0:56.975,56.975,3635.552,,58,3650.076,,-40.388,,-24.500,-65.875,-71.499,2.289,-38.319,-7.748,,-39.016,-16.759,-21.130,-22.949,-29.927,24.938,21.200,54.440,29.320,9.111
,,,,,60 0:57.211,0:57.211,57.211,3723.872,,60 1:48.753,1:48.753,108.753,3852.808,,60 0:57.551,0:57.551,57.551,3735.175,,60 1:00.098,1:00.098,60.098,3760.373,,,,,,,60 0:57.865,0:57.865,57.865,3748.787,,60 0:57.695,0:57.695,57.695,3726.307,,60 1:02.868,1:02.868,62.868,3772.457,,60 0:57.536,0:57.536,57.536,3726.968,,,,,,,60 0:57.459,0:57.459,57.459,3740.214,,60 1:07.215,1:07.215,67.215,3796.378,,60 1:15.783,1:15.783,75.783,3842.845,,60 0:57.395,0:57.395,57.395,3741.688,,60 0:57.520,0:57.520,57.52,3743.947,,60 1:03.752,1:03.752,63.752,3780.291,,60 0:56.563,0:56.563,56.563,3697.377,,60 1:10.404,1:10.404,70.404,3807.655,,60 0:56.910,0:56.910,56.91,3692.462,,59,3713.008,,-46.347,,-30.253,-72.194,-77.456,-3.419,-43.576,-12.733,,-44.396,-22.086,-26.581,-28.715,-35.384,31.047,16.155,54.054,24.243,3.531
,,,,,61 1:08.533,1:08.533,68.533,3792.405,,61 1:28.611,1:28.611,88.611,3941.419,,61 1:09.765,1:09.765,69.765,3804.940,,61 1:15.669,1:15.669,75.669,3836.042,,,,,,,61 1:18.789,1:18.789,78.789,3827.576,,61 1:07.862,1:07.862,67.862,3794.169,,61 1:14.303,1:14.303,74.303,3846.760,,61 1:08.378,1:08.378,68.378,3795.346,,,,,,,61 1:11.756,1:11.756,71.756,3811.97,,61 1:15.721,1:15.721,75.721,3872.099,,61 1:15.203,1:15.203,75.203,3918.048,,61 1:11.440,1:11.440,71.44,3813.128,,61 1:13.120,1:13.120,73.12,3817.067,,61 1:15.539,1:15.539,75.539,3855.83,,61 0:57.510,0:57.510,57.51,3754.887,,61 1:14.676,1:14.676,74.676,3882.331,,61 0:57.158,0:57.158,57.158,3749.62,,60,3775.941,,-52.069,,-35.727,-78.564,-83.479,-3.484,-48.973,-15.568,,-49.634,-27.154,-31.994,-34.253,-40.766,76.867,20.437,66.904,31.714,4.350
,,,,,62 1:16.056,1:16.056,76.056,3868.461,,62 1:21.570,1:21.570,81.570,4022.989,,62 P 1:16.980,1:16.980,76.980,3881.920,,62 1:16.594,1:16.594,76.594,3912.636,,,,,,,62 1:10.816,1:10.816,70.816,3898.392,,62 1:15.063,1:15.063,75.063,3869.232,,62 1:16.589,1:16.589,76.589,3923.349,,62 1:15.987,1:15.987,75.987,3871.333,,,,,,,62 1:15.463,1:15.463,75.463,3887.433,,62 1:18.421,1:18.421,78.421,3950.52,,62 1:03.609,1:03.609,63.609,3981.657,,62 1:15.971,1:15.971,75.971,3889.099,,62 1:16.991,1:16.991,76.991,3894.058,,62 1:27.169,1:27.169,87.169,3942.999,,62 P 1:20.483,1:20.483,80.483,3835.37,,62 P 1:18.167,1:18.167,78.167,3960.498,,62 P 1:19.475,1:19.475,79.475,3829.095,,61,3838.873,,-46.468,,-26.903,-83.986,-89.253,7.887,-43.527,-2.831,,-44.704,-11.297,-21.806,-25.745,-33.933,102.546,33.226,79.175,43.458,16.957
,,,,,63 1:16.795,1:16.795,76.795,3945.256,,63 0:59.023,0:59.023,59.023,4082.012,,63 1:31.251,1:31.251,91.251,3973.171,,63 1:07.212,1:07.212,67.212,3979.848,,,,,,,63 1:12.429,1:12.429,72.429,3970.821,,63 1:18.201,1:18.201,78.201,3947.433,,63 P 1:06.875,1:06.875,66.875,3990.224,,63 1:17.868,1:17.868,77.868,3949.201,,,,,,,63 1:16.859,1:16.859,76.859,3964.292,,63 1:30.474,1:30.474,90.474,4040.994,,63 P 1:16.756,1:16.756,76.756,4058.413,,63 1:16.598,1:16.598,76.598,3965.697,,63 1:15.137,1:15.137,75.137,3969.195,,63 1:21.308,1:21.308,81.308,4024.307,,63 2:01.524,2:01.524,121.524,3956.894,,63 1:35.445,1:35.445,95.445,4055.943,,63 P 1:52.067,1:52.067,112.067,3941.162,,62,3901.805,,-33.344,,-14.372,-66.435,-72.710,21.544,-30.472,10.831,,-32.573,-3.413,-7.747,-12.706,-19.885,121.184,48.715,79.852,58.693,41.194
,,,,,64 1:31.907,1:31.907,91.907,4037.163,,64 1:03.072,1:03.072,63.072,4145.084,,64 1:19.559,1:19.559,79.559,4052.730,,64 1:14.648,1:14.648,74.648,4054.496,,,,,,,64 1:20.955,1:20.955,80.955,4051.776,,64 1:31.165,1:31.165,91.165,4038.598,,64 1:19.428,1:19.428,79.428,4069.652,,64 1:30.862,1:30.862,90.862,4040.063,,,,,,,64 1:20.951,1:20.951,80.951,4045.243,,64 1:15.281,1:15.281,75.281,4116.275,,64 1:25.851,1:25.851,85.851,4144.264,,64 1:22.330,1:22.330,82.33,4048.027,,64 1:21.227,1:21.227,81.227,4050.422,,64 1:11.791,1:11.791,71.791,4096.098,,64 1:25.785,1:25.785,85.785,4042.679,,64 1:13.133,1:13.133,73.133,4129.076,,64 1:42.814,1:42.814,102.814,4043.976,,63,3964.738,,-19.482,,-0.446,-7.844,-23.576,25.486,-15.537,15.110,,-17.305,6.083,4.457,0.959,8.433,117.274,76.256,93.675,91.205,59.569
,,,,,65 1:29.912,1:29.912,89.912,4127.075,,65 1:15.734,1:15.734,75.734,4220.818,,65 1:28.651,1:28.651,88.651,4141.381,,65 1:28.561,1:28.561,88.561,4143.057,,,,,,,65 1:28.378,1:28.378,88.378,4140.154,,65 1:29.872,1:29.872,89.872,4128.470,,65 1:14.516,1:14.516,74.516,4144.168,,65 1:29.584,1:29.584,89.584,4129.647,,,,,,,65 1:27.927,1:27.927,87.927,4133.17,,65 0:59.313,0:59.313,59.313,4175.588,,65 1:07.260,1:07.260,67.26,4211.524,,65 1:27.511,1:27.511,87.511,4135.538,,65 1:27.437,1:27.437,87.437,4137.859,,65 0:58.485,0:58.485,58.485,4154.583,,65 1:28.299,1:28.299,88.299,4130.978,,65 0:58.922,0:58.922,58.922,4187.998,,65 1:28.181,1:28.181,88.181,4132.157,,64,4027.670,,9.493,,17.573,15.009,16.306,41.982,12.393,26.826,,10.928,24.106,22.752,20.357,25.060,117.414,88.605,116.594,101.406,68.428
,,,,,66 1:34.625,1:34.625,94.625,4221.700,,66 1:02.078,1:02.078,62.078,4282.896,,66 1:32.927,1:32.927,92.927,4234.308,,66 1:33.017,1:33.017,93.017,4236.074,,,,,,,66 1:33.133,1:33.133,93.133,4233.287,,66 1:34.418,1:34.418,94.418,4222.888,,66 1:32.740,1:32.740,92.740,4236.908,,66 1:34.632,1:34.632,94.632,4224.279,,,,,,,66 1:34.206,1:34.206,94.206,4227.376,,66 1:04.761,1:04.761,64.761,4240.349,,66 0:58.416,0:58.416,58.416,4269.94,,66 1:33.740,1:33.740,93.74,4229.278,,66 1:33.347,1:33.347,93.347,4231.206,,66 1:24.284,1:24.284,84.284,4238.867,,66 1:34.185,1:34.185,94.185,4225.163,,66 0:59.770,0:59.770,59.77,4247.768,,66 1:34.343,1:34.343,94.343,4226.5,,65,4090.602,,36.473,,42.568,40.376,41.555,53.566,39.045,52.455,,37.868,49.552,47.257,44.936,50.779,130.216,84.986,120.922,97.396,63.981
,,,,,67 1:26.387,1:26.387,86.387,4308.087,,67 0:58.343,0:58.343,58.343,4341.239,,67 1:26.562,1:26.562,86.562,4320.870,,67 1:26.565,1:26.565,86.565,4322.639,,,,,,,67 1:25.448,1:25.448,85.448,4318.735,,67 1:26.591,1:26.591,86.591,4309.479,,67 1:26.798,1:26.798,86.798,4323.706,,67 1:25.875,1:25.875,85.875,4310.154,,,,,,,67 1:27.516,1:27.516,87.516,4314.892,,67 1:26.003,1:26.003,86.003,4326.352,,67 0:59.784,0:59.784,59.784,4329.724,,67 1:26.428,1:26.428,86.428,4315.706,,67 1:26.415,1:26.415,86.415,4317.621,,67 1:26.521,1:26.521,86.521,4325.388,,67 1:26.307,1:26.307,86.307,4311.47,,67 1:20.110,1:20.110,80.11,4327.878,,67 1:26.885,1:26.885,86.885,4313.385,,66,4153.535,,68.165,,73.841,71.628,72.965,83.373,70.744,82.539,,69.353,79.752,77.671,75.743,80.773,129.361,86.814,116.405,94.233,85.332
,,,,,68 1:23.264,1:23.264,83.264,4391.351,,68 1:00.362,1:00.362,60.362,4401.601,,68 1:15.535,1:15.535,75.535,4396.405,,68 1:14.300,1:14.300,74.300,4396.939,,,,,,,68 1:17.413,1:17.413,77.413,4396.148,,68 1:22.462,1:22.462,82.462,4391.941,,68 1:13.588,1:13.588,73.588,4397.294,,68 1:22.415,1:22.415,82.415,4392.569,,,,,,,68 1:18.787,1:18.787,78.787,4393.679,,68 1:11.841,1:11.841,71.841,4398.193,,68 1:09.827,1:09.827,69.827,4399.551,,68 1:18.775,1:18.775,78.775,4394.481,,68 1:17.911,1:17.911,77.911,4395.532,,68 1:12.153,1:12.153,72.153,4397.541,,68 1:21.491,1:21.491,81.491,4392.961,,68 1:10.711,1:10.711,70.711,4398.589,,68 1:19.862,1:19.862,79.862,4393.247,,67,4216.467,,91.620,,98.425,95.003,96.918,107.239,93.687,106.172,,93.012,102.268,101.154,99.239,104.403,124.772,109.885,113.257,111.411,108.921
