1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,13 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,21 Nyck DE VRIES,,NDV_Laptime_s,NDV_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
45 1:37.015,1:37.015,97.015,4474.082,,45 1:36.928,1:36.928,96.928,4484.199,,45 1:37.462,1:37.462,97.462,4562.153,,45 1:37.503,1:37.503,97.503,4553.155,,45 1:37.426,1:37.426,97.426,4610.931,,,,,,,45 1:36.186,1:36.186,96.186,4547.328,,,,,,,45 1:37.931,1:37.931,97.931,4509.984,,45 1:37.222,1:37.222,97.222,4518.809,,,,,,,45 1:39.561,1:39.561,99.561,4510.972,,45 1:37.126,1:37.126,97.126,4573.636,,45 1:37.314,1:37.314,97.314,4582.946,,45 1:38.889,1:38.889,98.889,4565.712,,45 1:37.021,1:37.021,97.021,4555.615,,45 1:37.950,1:37.950,97.95,4561.677,,45 1:37.688,1:37.688,97.688,4534.947,,45 1:37.661,1:37.661,97.661,4511.647,,45 1:37.316,1:37.316,97.316,4520.544,,44,4377.067,0.000,10.204,,34.344,36.919,46.161,34.986,44.520,136.438,,,74.075,81.527,89.756,78.585,87.624,99.443,108.565,60.192,86.660
46 1:36.701,1:36.701,96.701,4570.783,,46 1:37.257,1:37.257,97.257,4581.456,,46 1:38.441,1:38.441,98.441,4660.594,,46 1:37.577,1:37.577,97.577,4650.732,,46 1:37.656,1:37.656,97.656,4708.587,,,,,,,46 1:36.041,1:36.041,96.041,4643.369,,,,,,,46 1:37.087,1:37.087,97.087,4607.071,,46 1:37.562,1:37.562,97.562,4616.371,,,,,,,46 1:37.844,1:37.844,97.844,4608.816,,46 1:37.589,1:37.589,97.589,4671.225,,46 1:39.972,1:39.972,99.972,4682.918,,46 1:38.871,1:38.871,98.871,4664.583,,46 1:37.258,1:37.258,97.258,4652.873,,46 1:38.336,1:38.336,98.336,4660.013,,46 1:37.830,1:37.830,97.83,4632.777,,46 1:37.779,1:37.779,97.779,4609.426,,46 1:37.571,1:37.571,97.571,4618.115,,45,4474.082,0.000,10.117,,36.890,37.565,46.462,35.902,44.727,136.849,,,73.246,81.533,91.630,79.073,88.071,99.554,108.864,60.865,87.595
47 1:37.009,1:37.009,97.009,4667.792,,47 1:36.661,1:36.661,96.661,4678.117,,47 1:37.227,1:37.227,97.227,4757.821,,47 1:37.545,1:37.545,97.545,4748.277,,47 P 1:40.433,1:40.433,100.433,4809.020,,,,,,,47 1:36.120,1:36.120,96.120,4739.489,,,,,,,47 1:37.326,1:37.326,97.326,4704.397,,47 1:37.257,1:37.257,97.257,4713.628,,,,,,,47 1:38.222,1:38.222,98.222,4707.038,,47 1:37.629,1:37.629,97.629,4768.854,,47 1:36.806,1:36.806,96.806,4779.724,,47 1:38.921,1:38.921,98.921,4763.504,,47 1:37.359,1:37.359,97.359,4750.232,,47 1:39.553,1:39.553,99.553,4759.566,,47 1:37.815,1:37.815,97.815,4730.592,,47 1:38.517,1:38.517,98.517,4707.943,,47 1:37.432,1:37.432,97.432,4715.547,,46,4570.783,0.000,10.673,,38.033,38.643,47.332,36.288,45.588,137.804,,,72.586,82.090,93.800,79.949,89.811,100.442,112.135,61.994,89.230
48 1:36.918,1:36.918,96.918,4764.710,,48 1:36.859,1:36.859,96.859,4774.976,,48 1:37.068,1:37.068,97.068,4854.889,,48 1:37.684,1:37.684,97.684,4845.961,,48 2:06.905,2:06.905,126.905,4935.925,,,,,,,48 1:36.368,1:36.368,96.368,4835.857,,,,,,,48 1:36.783,1:36.783,96.783,4801.180,,48 1:37.448,1:37.448,97.448,4811.076,,,,,,,48 1:37.897,1:37.897,97.897,4804.935,,48 1:37.607,1:37.607,97.607,4866.461,,48 1:37.086,1:37.086,97.086,4876.81,,48 1:40.441,1:40.441,100.441,4863.945,,48 1:37.238,1:37.238,97.238,4847.47,,48 1:38.596,1:38.596,98.596,4858.162,,48 1:37.500,1:37.500,97.5,4828.092,,48 1:37.844,1:37.844,97.844,4805.787,,48 1:37.520,1:37.520,97.52,4813.067,,47,4667.792,0.000,10.325,,39.246,40.151,47.755,36.605,45.836,141.228,,,71.697,82.440,95.712,80.485,90.029,101.062,111.932,62.800,91.774
49 1:36.962,1:36.962,96.962,4861.672,,49 1:37.049,1:37.049,97.049,4872.025,,49 1:37.225,1:37.225,97.225,4952.114,,49 1:37.609,1:37.609,97.609,4943.570,,49 1:39.080,1:39.080,99.080,5035.005,,,,,,,49 1:36.803,1:36.803,96.803,4932.660,,,,,,,49 1:36.726,1:36.726,96.726,4897.906,,49 1:37.551,1:37.551,97.551,4908.627,,,,,,,49 1:37.765,1:37.765,97.765,4902.7,,49 1:37.739,1:37.739,97.739,4964.2,,49 1:37.077,1:37.077,97.077,4973.887,,49 1:38.985,1:38.985,98.985,4962.93,,49 1:37.528,1:37.528,97.528,4944.998,,49 1:38.628,1:38.628,98.628,4956.79,,49 1:37.850,1:37.850,97.85,4925.942,,49 1:37.954,1:37.954,97.954,4903.741,,49 1:37.718,1:37.718,97.718,4910.785,,48,4764.710,0.000,10.266,,40.225,41.077,48.357,36.470,46.366,171.215,,,71.147,82.760,99.235,81.251,90.179,101.751,112.100,63.382,93.452
50 1:37.250,1:37.250,97.250,4958.922,,50 1:37.731,1:37.731,97.731,4969.756,,50 1:37.290,1:37.290,97.290,5049.404,,50 1:37.695,1:37.695,97.695,5041.265,,50 1:35.257,1:35.257,95.257,5130.262,,,,,,,50 1:36.551,1:36.551,96.551,5029.211,,,,,,,50 1:36.331,1:36.331,96.331,4994.237,,50 1:37.388,1:37.388,97.388,5006.015,,,,,,,50 1:37.604,1:37.604,97.604,5000.304,,50 1:38.315,1:38.315,98.315,5062.515,,50 1:37.242,1:37.242,97.242,5071.129,,50 1:39.089,1:39.089,99.089,5062.019,,50 1:37.624,1:37.624,97.624,5042.622,,50 1:39.893,1:39.893,99.893,5056.683,,50 1:37.710,1:37.710,97.71,5023.652,,50 1:37.770,1:37.770,97.77,5001.511,,50 1:37.383,1:37.383,97.383,5008.168,,49,4861.672,0.000,10.353,,41.028,42.069,49.113,36.234,46.955,173.333,,,70.988,83.326,101.258,81.898,90.442,102.528,112.215,64.270,95.118
51 1:37.427,1:37.427,97.427,5056.349,,51 1:37.049,1:37.049,97.049,5066.805,,51 1:37.472,1:37.472,97.472,5146.876,,51 1:37.727,1:37.727,97.727,5138.992,,51 1:35.822,1:35.822,95.822,5226.084,,,,,,,51 1:36.635,1:36.635,96.635,5125.846,,,,,,,51 1:36.960,1:36.960,96.960,5091.197,,51 1:37.866,1:37.866,97.866,5103.881,,,,,,,51 1:37.672,1:37.672,97.672,5097.976,,51 1:38.157,1:38.157,98.157,5160.672,,51 1:37.306,1:37.306,97.306,5168.435,,51 1:40.475,1:40.475,100.475,5162.494,,51 1:37.706,1:37.706,97.706,5140.328,,51 1:38.719,1:38.719,98.719,5155.402,,51 1:37.816,1:37.816,97.816,5121.468,,51 1:38.014,1:38.014,98.014,5099.525,,51 1:37.825,1:37.825,97.825,5105.993,,50,4958.922,0.000,10.834,,41.382,42.589,49.246,35.315,47.093,171.340,,,70.289,83.700,103.097,82.343,90.482,103.593,112.207,64.730,97.761
52 1:36.919,1:36.919,96.919,5153.268,,52 1:37.062,1:37.062,97.062,5163.867,,52 1:37.456,1:37.456,97.456,5244.332,,52 1:37.861,1:37.861,97.861,5236.853,,52 1:36.152,1:36.152,96.152,5322.236,,,,,,,52 1:36.891,1:36.891,96.891,5222.737,,,,,,,52 1:37.010,1:37.010,97.010,5188.207,,52 1:37.579,1:37.579,97.579,5201.460,,,,,,,52 1:37.490,1:37.490,97.49,5195.466,,52 1:37.963,1:37.963,97.963,5258.635,,52 1:37.917,1:37.917,97.917,5266.352,,52 1:40.330,1:40.330,100.33,5262.824,,52 1:37.590,1:37.590,97.59,5237.918,,52 1:38.713,1:38.713,98.713,5254.115,,52 1:37.947,1:37.947,97.947,5219.415,,52 1:37.803,1:37.803,97.803,5197.328,,52 1:37.589,1:37.589,97.589,5203.582,,51,5056.349,0.000,10.456,,41.627,43.176,49.644,34.848,47.532,169.735,,,69.497,83.979,106.145,82.643,90.527,104.323,112.086,65.119,99.053
53 1:36.890,1:36.890,96.890,5250.158,,53 1:37.345,1:37.345,97.345,5261.212,,53 1:37.662,1:37.662,97.662,5341.994,,53 1:37.778,1:37.778,97.778,5334.631,,53 1:36.500,1:36.500,96.500,5418.736,,,,,,,53 1:36.979,1:36.979,96.979,5319.716,,,,,,,53 1:37.010,1:37.010,97.010,5285.217,,53 1:38.379,1:38.379,98.379,5299.839,,,,,,,53 1:37.660,1:37.660,97.66,5293.126,,53 1:37.982,1:37.982,97.982,5356.617,,53 1:38.067,1:38.067,98.067,5364.419,,53 1:39.150,1:39.150,99.15,5361.974,,53 1:37.675,1:37.675,97.675,5335.593,,53 1:38.634,1:38.634,98.634,5352.749,,53 1:37.856,1:37.856,97.856,5317.271,,53 1:37.988,1:37.988,97.988,5295.316,,53 1:37.841,1:37.841,97.841,5301.423,,52,5153.268,0.000,10.599,,42.198,44.060,50.314,34.939,48.192,168.968,,,69.469,84.650,109.556,83.585,91.064,105.367,113.084,66.147,100.847
54 1:36.678,1:36.678,96.678,5346.836,,54 1:37.296,1:37.296,97.296,5358.508,,54 1:37.936,1:37.936,97.936,5439.930,,54 1:37.780,1:37.780,97.780,5432.411,,54 P 1:39.789,1:39.789,99.789,5518.525,,,,,,,54 1:37.222,1:37.222,97.222,5416.938,,,,,,,54 1:37.599,1:37.599,97.599,5382.816,,54 1:37.597,1:37.597,97.597,5397.436,,,,,,,54 1:37.694,1:37.694,97.694,5390.82,,54 1:39.651,1:39.651,99.651,5456.268,,54 1:38.458,1:38.458,98.458,5462.877,,54 1:38.885,1:38.885,98.885,5460.859,,54 1:37.720,1:37.720,97.72,5433.313,,54 P 1:41.967,1:41.967,101.967,5454.716,,54 1:37.738,1:37.738,97.738,5415.009,,54 1:38.076,1:38.076,98.076,5393.392,,54 1:37.923,1:37.923,97.923,5399.346,,53,5250.158,0.000,11.054,,42.968,45.158,51.265,35.059,49.681,168.578,,,69.558,85.435,111.816,84.473,91.836,106.459,114.261,67.113,102.591
55 1:36.322,1:36.322,96.322,5443.158,,55 1:37.092,1:37.092,97.092,5455.600,,55 1:38.316,1:38.316,98.316,5538.246,,55 1:37.803,1:37.803,97.803,5530.214,,55 2:04.847,2:04.847,124.847,5643.372,,,,,,,55 1:37.559,1:37.559,97.559,5514.497,,,,,,,55 1:37.662,1:37.662,97.662,5480.478,,55 1:37.701,1:37.701,97.701,5495.137,,,,,,,55 1:37.821,1:37.821,97.821,5488.641,,55 1:38.446,1:38.446,98.446,5554.714,,55 1:38.564,1:38.564,98.564,5561.441,,55 1:39.239,1:39.239,99.239,5560.098,,55 1:37.945,1:37.945,97.945,5531.258,,55 2:07.673,2:07.673,127.673,5582.389,,55 1:37.807,1:37.807,97.807,5512.816,,55 1:37.955,1:37.955,97.955,5491.347,,55 1:37.860,1:37.860,97.86,5497.206,,54,5346.836,0.000,11.672,,43.984,46.556,52.510,35.980,50.600,171.689,,,70.102,86.477,114.023,85.575,93.094,109.432,116.041,68.173,107.880
56 1:37.205,1:37.205,97.205,5540.363,,56 1:36.565,1:36.565,96.565,5552.165,,56 1:39.626,1:39.626,99.626,5637.872,,56 1:38.159,1:38.159,98.159,5628.373,,,,,,,,,,,,56 1:37.845,1:37.845,97.845,5612.342,,,,,,,56 1:37.473,1:37.473,97.473,5577.951,,56 1:38.110,1:38.110,98.110,5593.247,,,,,,,56 1:38.126,1:38.126,98.126,5586.767,,56 1:38.779,1:38.779,98.779,5653.493,,56 1:39.206,1:39.206,99.206,5660.647,,56 1:39.161,1:39.161,99.161,5659.259,,56 1:38.102,1:38.102,98.102,5629.36,,56 1:33.996,1:33.996,93.996,5676.385,,56 1:38.160,1:38.160,98.16,5610.976,,56 1:38.111,1:38.111,98.111,5589.458,,56 1:37.636,1:37.636,97.636,5594.842,,55,5443.158,0.000,12.442,,45.483,48.189,54.048,37.320,51.979,200.214,,,71.339,88.100,116.940,87.056,95.088,111.556,118.283,69.658,139.231
57 1:36.373,1:36.373,96.373,5636.736,,57 1:36.558,1:36.558,96.558,5648.723,,,,,,,57 1:38.137,1:38.137,98.137,5726.510,,,,,,,,,,,,57 1:38.147,1:38.147,98.147,5710.489,,,,,,,57 1:37.422,1:37.422,97.422,5675.373,,57 1:37.991,1:37.991,97.991,5691.238,,,,,,,57 1:38.021,1:38.021,98.021,5684.788,,,,,,,,,,,,,,,,,57 1:38.246,1:38.246,98.246,5727.606,,,,,,,57 1:38.407,1:38.407,98.407,5709.383,,57 1:38.255,1:38.255,98.255,5687.713,,57 1:37.767,1:37.767,97.767,5692.609,,56,5540.363,0.000,11.802,,46.404,49.095,54.479,37.588,52.884,,,,71.979,88.997,118.896,88.010,97.509,113.130,120.284,70.613,136.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5636.736,0.000,11.987,,48.052,50.977,55.873,38.637,54.502,,,,73.753,90.870,,89.774,,,,72.647,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
